sl no,work,status,year,garam,work type,Total
431,_______ ______ _________ ______ _______ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.18177
,(1504009014/IF/93393042892258288),,,,,
432,______ ______ _______ ______ _______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.11205
,(1504009014/IF/93393042892258544),,,,,
433,______ ______ ______ _______ ____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892258545),,,,,
434,______ ______ ________ ______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.15687
,(1504009014/IF/93393042892262015),,,,,
435,_______ ______ _____ _______ _____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19671
,(1504009014/IF/93393042892264363),,,,,
436,_______ ______ _______ ______ _______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.15438
,(1504009014/IF/93393042892264365),,,,,
437,_______ _____ ______ _____ _________ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.22908
,(1504009014/IF/93393042892266094),,,,,
438,______ ______ ______ ______ ______________ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892266262),,,,,
439,______ ______ _______ ________ ______ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.25896
,(1504009014/IF/93393042892268915),,,,,
440,______ __________ _____ ______ ____ ___ __________ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892270517),,,,,
441,_______ ______ ______ _______ _________ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892271280),,,,,
442,______ ______ ________ ________ _______ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.18177
,(1504009014/IF/93393042892271283),,,,,
443,_______ ______ ______ _____ ___________ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.12201
,(1504009014/IF/93393042892272009),,,,,
444,______ ______ _______ ______ _______ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892272012),,,,,
445,_______ ______ ______ _____ ____ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.15936
,(1504009014/IF/93393042892272784),,,,,
446,______ ______ _______ _______ _______ ___ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.15438
,(1504009014/IF/93393042892274254),,,,,
447,______ ______ _________ ________ _______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.12201
,(1504009014/IF/93393042892274255),,,,,
448,_______ ______ _______ _______ ____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892278734),,,,,
449,_______ ______ _________ _______ _____ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.21165
,(1504009014/IF/93393042892278737),,,,,
450,_______ ______ _____ ___________ ______ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892282606),,,,,
451,_______ _____ _____ ________ _______ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892282609),,,,,
452,_______ _____ ______ _______ _______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.15687
,(1504009014/IF/93393042892282612),,,,,
453,______ ______ _______ _______ ____________ ___ _________ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892282613),,,,,
454,_______ ______ _______ ______ _____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.1743
,(1504009014/IF/93393042892284655),,,,,
455,______ ______ _______ ________ ______ ___ ____ ________ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892284658),,,,,
456,______ ______ _______ ______ _________ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.077
,(1504009014/IF/93393042892284662),,,,,
457,________ ______ _______ _______ _______ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892291127),,,,,
458,_______ ______ ________ ________ _____________ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.21663
,(1504009014/IF/93393042892307884),,,,,
459,_______ ______ ______ _________ ______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.15936
,(1504009014/IF/93393042892308831),,,,,
460,_______ ______ _______ _____ ________ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.22161
,(1504009014/IF/93393042892308857),,,,,
461,_______ ______ ______ ______ _____ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.15438
,(1504009014/IF/93393042892308858),,,,,
462,_______ ______ ______ ______ _____ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.15438
,(1504009014/IF/93393042892308861),,,,,
463,______ ______ _________ _______ _____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892308863),,,,,
464,______ ______ ______ ________ _____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892308865),,,,,
465,________ ______ _______ ______ _______ ___ _________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892311924),,,,,
466,_______ ______ ________ _______ _____ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.14442
,(1504009014/IF/93393042892312899),,,,,
467,_______ ______ ______ _________ _____ ___ ____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.01743
,(1504009014/IF/93393042892312902),,,,,
468,_______ ___________ _______ _____ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.18177
,(1504009014/IF/93393042892312907),,,,,
469,_______ ______ _________ ______ ____________ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.18924
,(1504009014/IF/93393042892314116),,,,,
470,______ ______ ________ _______ ___________ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892314120),,,,,
471,_______ ______ _____ ______ _______ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892314122),,,,,
472,_______ ______ _______ _________ _____ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.06972
,(1504009014/IF/93393042892315481),,,,,
473,_______ ______ _______ _______ _______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.12948
,(1504009014/IF/93393042892315483),,,,,
474,_______ ______ _____ _____ _______ ___ ____ _____ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892315485),,,,,
475,_______ ______ _____ _____ _______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.12948
,(1504009014/IF/93393042892315486),,,,,
476,________ ______ _____ _______ _______ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892320240),,,,,
477,______________ ______ ______ _______ ___ _________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.16683
,(1504009014/IF/93393042892320242),,,,,
478,________ ______ ______ ______ ______ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892321220),,,,,
479,_______ ______ _____ _____ _______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.06972
,(1504009014/IF/93393042892325171),,,,,
480,________ ______ ______ _______ ______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.0275
,(1504009014/IF/93393042892326404),,,,,
481,_______ ______ ________ ______ _____ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892326407),,,,,
482,______ ______ ________ ________ _______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.15438
,(1504009014/IF/93393042892326419),,,,,
483,__________ ______ _________ _____ ________ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.21414
,(1504009014/IF/93393042892326420),,,,,
484,_______ ______ ________ _______ _____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.1992
,(1504009014/IF/93393042892327400),,,,,
485,______ ______ ______ _________ _______ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.23138
,(1504009014/IF/93393042892327403),,,,,
486,______ ______ ______ _______ _______ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.23138
,(1504009014/IF/93393042892327404),,,,,
487,_______ ______ _______ _______ ____ ___ ___ ______ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892340863),,,,,
488,_______ ______ ____ _______ ____ ___ ___ ______ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892340868),,,,,
489,______ _____ ________ _____ ____ ___ ____ _____ __________,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.13197
,(1504009014/IF/93393042892340886),,,,,
490,______ ______ ______ ______ ____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19173
,(1504009014/IF/93393042892340893),,,,,
491,______ ______ ______ _______ ____ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.05229
,(1504009014/IF/93393042892340896),,,,,
492,______ ______ ______ _______ ____ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.0249
,(1504009014/IF/93393042892340900),,,,,
493,_______ ______ ______ _______ ____ ___ ___ ______ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892341222),,,,,
494,_______ ______ ______ _ ____ ___ ___ ______ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892341224),,,,,
495,________ ______ _______ ________ ______ ___ ___ ____ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892343956),,,,,
496,________ ______ ______ ______ ___ ___ ____ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892343959),,,,,
497,_______ ______ ________ ______ ______ ___ ___ ______ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892344390),,,,,
498,_______ ______ ______ _______ _____ ___ ___ ______ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892344400),,,,,
499,_______ ______ ______ ________ _______ ___ ___ ______ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.38672
,(1504009014/IF/93393042892344404),,,,,
500,______ ______ _______ _______ ________ ___ ____ ________ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892351650),,,,,
501,______ ______ _______ ________ ______ ___ ___ _____ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19422
,(1504009014/IF/93393042892351998),,,,,
502,_______ ______ ______ _____ ________ ___ ____ ________ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892352001),,,,,
503,_______ ______ ________ ______ _______ ________ ________ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892352388),,,,,
504,_______ ________ _______ ___ _________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19422
,(1504009014/IF/93393042892356555),,,,,
505,_________ _______ _______ ___ _________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19422
,(1504009014/IF/93393042892356556),,,,,
506,________ ________ ______ ___ _________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19173
,(1504009014/IF/93393042892356557),,,,,
507,_________ _______ ______ ___ ___ _____ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892356560),,,,,
508,______ __ __________ ___ ___ _____ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892356561),,,,,
509,_______ ______ ______ ___ ___ _____ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19422
,(1504009014/IF/93393042892356564),,,,,
510,_____ _______ ______ ___ ___ _____ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19422
,(1504009014/IF/93393042892356565),,,,,
511,_______ ______ ______ _______ _______ ___ ___ ________ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.1992
